,Room Name,DateIn,DateOut
62,Meeting Room B215,2021/1/19,2021/2/2
63,Meeting Room B216,2021/1/19,2021/2/2
64,Meeting Room B217,2021/1/19,2021/2/2
65,Meeting Room B218,2021/1/19,2021/2/2
66,Meeting Room B301,2021/1/19,2021/2/2
67,Meeting Room B302,2021/1/19,2021/2/2
68,Meeting Room B303,2021/1/19,2021/2/2
69,Meeting Room B304,2021/1/19,2021/2/2
70,Meeting Room B305,2021/1/19,2021/2/2
71,Meeting Room B306,2021/1/19,2021/2/2
72,Meeting Room B307,2021/1/19,2021/2/2
73,Meeting Room B308,2021/1/19,2021/2/2
74,Meeting Room B309,2021/1/19,2021/2/2
75,Meeting Room B310,2021/1/19,2021/2/2
76,Meeting Room B311,2021/1/19,2021/2/2
77,Meeting Room B312,2021/1/19,2021/2/2
78,Meeting Room B313,2021/1/19,2021/2/2
79,Meeting Room B313A,2021/1/19,2021/2/2
80,Meeting Room B313B,2021/1/19,2021/2/2
81,Meeting Room B314,2021/1/19,2021/2/2
82,Meeting Room B315,2021/1/19,2021/2/2
83,Meeting Room B316,2021/1/19,2021/2/2
84,Meeting Room B317,2021/1/19,2021/2/2
85,Meeting Room B318,2021/1/19,2021/2/2
86,Meeting Room B319,2021/1/19,2021/2/2
89,Meeting Room B401,2021/1/19,2021/2/2
90,Meeting Room B402,2021/1/19,2021/2/2
91,Meeting Room B403,2021/1/19,2021/2/2
92,Meeting Room B404,2021/1/19,2021/2/2
93,Meeting Room B405,2021/1/19,2021/2/2
94,Meeting Room B406,2021/1/19,2021/2/2
97,Meeting Room B407,2021/1/19,2021/2/2
98,Meeting Room B408,2021/1/19,2021/2/2
99,Meeting Room B409,2021/1/19,2021/2/2
100,Meeting Room B411,2021/1/19,2021/2/2
114,Meeting Room C103,2021/1/19,2021/2/2
115,Meeting Room C104,2021/1/19,2021/2/2
116,Meeting Room C105,2021/1/19,2021/2/2
117,Meeting Room C106,2021/1/19,2021/2/2
118,Meeting Room C107,2021/1/19,2021/2/2
119,Meeting Room C108,2021/1/19,2021/2/2
120,Meeting Room C109,2021/1/19,2021/2/2
121,Meeting Room C110,2021/1/19,2021/2/2
