,sqftPerEvent,orderedRentTotal,Attendance,totalRoomNights,eventDuration,contactTillStart,M-B,E-A,E-B,E-C,M-A,M-C,FB
449,78536,0.0,1480,1.0,1,443,0,0,0,0,0,0,2000.0
448,2449860,118000.0,40110,1559.0,3,876,0,3,0,0,18,0,1.0
447,813200,36000.0,20000,50.0,2,400,0,0,0,2,0,0,15000.0
446,7404504,317932.0,13000,13607.0,3,2042,47,1,6,0,0,0,60000.0
445,27598,6400.0,700,1.0,1,254,0,0,0,0,5,0,1.0
444,2890489,97235.0,5600,4722.0,3,2043,0,4,0,0,31,0,1.0
443,1580800,10000.0,2580,750.0,2,398,0,0,0,2,0,0,45000.0
442,2074880,109890.0,3300,9510.0,3,1979,0,0,0,1,0,23,1.0
441,86165,23084.0,1730,1.0,1,317,0,0,0,0,5,0,7500.0
440,1500691,29800.0,600,1.0,3,380,0,2,0,0,1,0,1.0
438,6878514,163775.0,7459,21546.0,4,2047,47,1,5,0,30,0,200000.0
437,89662,20000.0,606,1.0,2,122,0,0,0,0,0,2,1.0
436,403000,45000.0,150,1.0,2,22,0,2,0,0,0,0,2000.0
435,124619,0.0,1115,1.0,2,1092,0,0,0,0,0,2,50000.0
434,7490,2500.0,300,1.0,1,3,2,0,0,0,0,0,1.0
433,8813,2895.5,200,1.0,1,30,4,0,0,0,0,0,1.0
432,2397335,135000.0,4614,6625.0,6,1995,0,3,0,0,30,0,1.0
431,277306,17250.0,3100,50.0,2,324,0,1,0,0,3,0,0.01
430,7026,500.0,30,1.0,3,31,0,0,0,0,0,1,1.0
429,240936,33859.5,2166,1.0,1,230,0,0,0,0,0,3,1.0
428,124548,8000.0,460,530.0,3,281,0,4,0,0,24,0,3500.0
427,67218,9500.0,250,1.0,35,116,7,2,0,0,3,9,1.0
426,1905935,74625.0,4130,912.0,5,320,0,3,0,0,18,0,150000.0
425,8168,20000.0,100,1.0,2,8,0,0,0,0,0,0,1.0
424,6962307,100000.0,4175,12500.0,9,136,51,1,5,0,11,6,1000000.0
422,19186,5140.0,975,1.0,1,267,0,2,0,0,4,0,1.0
423,2553,0.0,170,1.0,1,140,0,2,0,0,0,0,3300.0
421,34316,3500.0,750,1.0,2,93,0,0,0,0,0,0,1.0
420,1822107,30000.0,15000,1.0,1,1919,3,4,0,0,23,0,0.01
419,16435,4500.0,450,1.0,1,86,0,0,0,0,0,0,1.0
418,33745796,800000.0,31500,23951.0,4,1881,47,5,6,13,30,26,1.0
417,2403000,19200.0,80,1.0,9,221,0,2,0,0,0,0,1.0
416,11291,3385.0,500,1.0,1,88,0,0,0,0,2,0,0.01
415,6148979,198010.0,3380,12500.0,3,615,47,1,4,0,0,0,45000.0
414,3731121,186636.0,18759,3200.0,3,1229,0,0,0,7,0,23,1.0
413,206252,20160.0,7232,1.0,1,333,0,0,0,2,0,0,1.0
409,6116229,250500.0,7025,1.0,3,1066,5,0,5,0,0,0,1.0
411,44831,21472.0,5500,1.0,1,290,0,0,0,0,0,2,1.0
410,199160,35000.0,4050,582.0,3,333,0,0,0,0,17,0,4500.0
412,725600,10000.0,3000,1.0,2,135,0,0,0,3,0,0,0.01
408,34201,7500.0,1100,1.0,1,132,0,0,0,0,1,0,1.0
407,112859,15000.0,596,140.0,4,302,0,4,0,0,7,0,15000.0
406,1540142,80000.0,3200,9305.0,3,105,0,0,0,2,0,27,1.0
405,360132,47620.0,2700,3000.0,4,413,0,0,0,2,1,0,1.0
404,510265,12500.0,125,1.0,1,21,0,1,1,0,0,0,900.0
403,128670,7000.0,250,1.0,1,40,3,0,1,0,0,0,1.0
402,570537,40000.0,500,1.0,1,56,1,1,1,0,2,0,2000.0
401,132386,14038.75,667,141.0,2,179,0,0,0,0,0,22,60000.0
400,590052,39000.0,5500,300.0,1,102,0,2,0,0,5,0,25000.0
399,17655,6292.0,1000,1.0,1,109,0,0,0,0,1,0,1.0
398,2630934,51050.0,14637,1.0,1,179,13,1,6,0,0,0,1.0
397,929520,50000.0,17549,1350.0,3,408,0,0,0,4,0,8,1.0
396,434712,18000.0,1300,100.0,2,358,0,1,0,0,10,0,0.01
395,200650,10000.0,415,800.0,4,54,1,0,0,0,0,0,130000.0
394,25893,4329.12,1000,1.0,1,1219,0,0,0,0,3,0,1.0
392,830000,19000.0,50000,1.0,2,1082,0,0,0,2,0,0,1.0
