,Event ID,Description,Cluster,Demand,PM
349,16492,"100,000 Initiatives Opportunity",SMALL,1,0.192277177
350,16742,H2Oscars,FILM_AWC,1,0.193724583
351,16187,VeloCity Cycling Event,SMALL,1,0.176782912
352,17226,Alphas of Atlanta Foundation Inc,SMALL,1,0.187691428
353,17844,Hansraj Hans and group MUBARAKAN,CON_P,1,0.192410685
354,5613,COVERINGS 2018,CONV,2,0.184209487
355,18003,State Bank & Trust Company,MEET,1,0.193756393
356,12893,"Accelerate, Powered by NetVU",CONV,2,0.195642252
357,17410,Fulton State of the County Luncheon,ME_OTH,1,0.2
358,15903,Tri-Cities High School Class of 2018,CHRTY_GRAD,2,0.020879308
359,16133,Freeman/JEC Americas Techtextil,CON_P,1,0.196819979
360,16314,Creekside High School Graduation,CHRTY_GRAD,2,0.120409028
361,19063,Banneker High School Graduation,CHRTY_GRAD,2,0.167897128
362,16074,DeKalb County School Graduations,CHRTY_GRAD,2,0.148770372
363,9108,Texprocess Americas + Techtextil North America,CONV,2,0.188324819
364,15366,Atlanta Independent School System Graduations,CHRTY_GRAD,2,0.180939474
365,7505,MomoCon,CONV,2,0.155673307
366,17837,Southeast Regional Championships,COMP,1,0.164697091
367,16181,Kenny Chesney Concert - GWCC Budget,CON_P,1,0.162218286
368,17331,Social Security Administration Examination,MEET,1,0.195617623
369,17485,American Taekwondo United National Championship,COMP,1,0.068567058
370,6372,Savannah College of Art and Design Graduation,CHRTY_GRAD,1,0.154866737
371,16692,The Ultimate Women's Expo,PUB,1,0.173973477
372,17555,Pulse Boxing Match,CONF_GAM,0,0.182309786
373,10149,American Society for Microbiology Microbe 2018,CONV,1,0.182324402
374,17417,Herzing University Commencement,CHRTY_GRAD,1,0.199307644
375,19234,Snickers,FILM_AWC,2,0.189016547
376,16807,TUNER EVOLUTION,PUB,1,0.126803704
377,17109,National Step League 7th Annual National Championship Step Show,COMP,1,0.14929484
378,17914,Scaling New Heights Conference,MEET,2,0.157472083
379,17973,Georgia Lodging Industry Forecast,MEET,2,0.191433485
380,17834,The American Express Leadership Academy,MEET,2,0.196370846
381,17578,"Jack & Jill of America, Inc. Southeastern Region",ME_OTH,1,0.195121001
382,9921,Technology Student Association,CONV,1,0.138330484
383,15363,CFA Institute,MEET,2,0.16535549
384,17372,Fling - Layers of Music,CON_P,2,0.18894148
385,15835,Solution Tree Culture Keepers,MEET,2,0.195313266
386,17769,Walk to Defeat ALS,CHRTY_GRAD,2,-0.1
387,16443,State of the Region Breakfast,ME_OTH,2,0.097026439
388,12726,Legacy of Excellence Awards,FILM_AWC,2,0.191677958
389,16456,Domotex USA,CONV,2,0.167500935
390,21661,Road to Gold,SMALL,1,0.191889768
391,10069,HAI HELI-EXPO 2019,CONV,2,0.173494591
392,18877,DoTERRA,CONF_GAM,0,0.177967166
393,19139,6th Annual Black Women in Jazz & Arts,FILM_AWC,0,0.189170377
394,21282,Pulse Boxing Match,CONF_GAM,0,0.180605403
395,17678,Rite of Election,CONF_GAM,0,0.193906106
396,5899,TESOL 2019 International Convention & English Language Expo,CONV,2,0.160360248
397,20740,CONCACAF Champions League Match Quarterfinal- GWCC Budget,CONF_GAM,0,0.162514469
398,20779,CONFIDENTIAL: The Climate Reality Project's Leadership Corp Training,MEET,2,0.197352737
399,21089,State of the City Mayor's Breakfast,ME_OTH,2,0.199052547
